
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=8
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: flickr
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 327,434 total, 327,434 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 8, Nonlinearity: maxk
Starting training...
Epoch 0038/1000| Loss 1.5846 | Train Accuracy 0.4228 | Val Accuracy 0.4250 | Test Accuracy 0.4246 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0039/1000| Loss 1.5857 | Train Accuracy 0.4260 | Val Accuracy 0.4301 | Test Accuracy 0.4272 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0040: Avg Forward 7.264ms, Avg Backward 3.173ms, Total per epoch 10.436ms
Epoch 0040/1000| Loss 1.5877 | Train Accuracy 0.4231 | Val Accuracy 0.4256 | Test Accuracy 0.4248 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0041/1000| Loss 1.5789 | Train Accuracy 0.4258 | Val Accuracy 0.4291 | Test Accuracy 0.4276 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0042/1000| Loss 1.5878 | Train Accuracy 0.4227 | Val Accuracy 0.4231 | Test Accuracy 0.4196 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0043/1000| Loss 1.5987 | Train Accuracy 0.4260 | Val Accuracy 0.4291 | Test Accuracy 0.4295 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0044/1000| Loss 1.5727 | Train Accuracy 0.4222 | Val Accuracy 0.4245 | Test Accuracy 0.4238 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0045/1000| Loss 1.5805 | Train Accuracy 0.4218 | Val Accuracy 0.4240 | Test Accuracy 0.4237 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
Epoch 0046/1000| Loss 1.5825 | Train Accuracy 0.4222 | Val Accuracy 0.4243 | Test Accuracy 0.4239 | Best val. Accuracy 0.4307 | Best test Accuracy 0.4297
