
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=8
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GCN model...
Using standard DGL GCN model
Model parameters: 328,199 total, 328,199 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 8, Nonlinearity: maxk
Starting training...
Epoch 0057/1000| Loss 1.4979 | Train Accuracy 0.5018 | Val Accuracy 0.5036 | Test Accuracy 0.5013 | Best val. Accuracy 0.5036 | Best test Accuracy 0.5013
Epoch 0058/1000| Loss 1.4810 | Train Accuracy 0.4874 | Val Accuracy 0.4896 | Test Accuracy 0.4889 | Best val. Accuracy 0.5036 | Best test Accuracy 0.5013
Epoch 0059/1000| Loss 1.4998 | Train Accuracy 0.4786 | Val Accuracy 0.4819 | Test Accuracy 0.4816 | Best val. Accuracy 0.5036 | Best test Accuracy 0.5013
Epoch 0060: Avg Forward 8.190ms, Avg Backward 3.713ms, Total per epoch 11.903ms
Epoch 0060/1000| Loss 1.4875 | Train Accuracy 0.4802 | Val Accuracy 0.4827 | Test Accuracy 0.4824 | Best val. Accuracy 0.5036 | Best test Accuracy 0.5013
Epoch 0061/1000| Loss 1.4913 | Train Accuracy 0.5012 | Val Accuracy 0.5028 | Test Accuracy 0.5027 | Best val. Accuracy 0.5036 | Best test Accuracy 0.5013
Epoch 0062/1000| Loss 1.4860 | Train Accuracy 0.5026 | Val Accuracy 0.5048 | Test Accuracy 0.5050 | Best val. Accuracy 0.5048 | Best test Accuracy 0.5050
Epoch 0063/1000| Loss 1.4807 | Train Accuracy 0.4900 | Val Accuracy 0.4943 | Test Accuracy 0.4929 | Best val. Accuracy 0.5048 | Best test Accuracy 0.5050
Epoch 0064/1000| Loss 1.4820 | Train Accuracy 0.4986 | Val Accuracy 0.5021 | Test Accuracy 0.4994 | Best val. Accuracy 0.5048 | Best test Accuracy 0.5050
Epoch 0065/1000| Loss 1.4757 | Train Accuracy 0.5015 | Val Accuracy 0.5030 | Test Accuracy 0.5022 | Best val. Accuracy 0.5048 | Best test Accuracy 0.5050
Epoch 0066/1000| Loss 1.4791 | Train Accuracy 0.5065 | Val Accuracy 0.5085 | Test Accuracy 0.5076 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5076
Epoch 0067/1000| Loss 1.4726 | Train Accuracy 0.5016 | Val Accuracy 0.5049 | Test Accuracy 0.5017 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5076
Epoch 0068/1000| Loss 1.4711 | Train Accuracy 0.5073 | Val Accuracy 0.5083 | Test Accuracy 0.5071 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5076
Epoch 0069/1000| Loss 1.4703 | Train Accuracy 0.5066 | Val Accuracy 0.5082 | Test Accuracy 0.5075 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5076
Epoch 0070/1000| Loss 1.4714 | Train Accuracy 0.5001 | Val Accuracy 0.5038 | Test Accuracy 0.5005 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5076
Epoch 0071/1000| Loss 1.4706 | Train Accuracy 0.5073 | Val Accuracy 0.5082 | Test Accuracy 0.5084 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5076
Epoch 0072/1000| Loss 1.4685 | Train Accuracy 0.5071 | Val Accuracy 0.5061 | Test Accuracy 0.5065 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5076
Epoch 0073/1000| Loss 1.4714 | Train Accuracy 0.4968 | Val Accuracy 0.5004 | Test Accuracy 0.4975 | Best val. Accuracy 0.5085 | Best test Accuracy 0.5076
Epoch 0074/1000| Loss 1.4732 | Train Accuracy 0.5088 | Val Accuracy 0.5097 | Test Accuracy 0.5093 | Best val. Accuracy 0.5097 | Best test Accuracy 0.5093
Epoch 0075/1000| Loss 1.4698 | Train Accuracy 0.5092 | Val Accuracy 0.5101 | Test Accuracy 0.5084 | Best val. Accuracy 0.5101 | Best test Accuracy 0.5084
Epoch 0076/1000| Loss 1.4629 | Train Accuracy 0.5072 | Val Accuracy 0.5088 | Test Accuracy 0.5078 | Best val. Accuracy 0.5101 | Best test Accuracy 0.5084
Epoch 0077/1000| Loss 1.4615 | Train Accuracy 0.5087 | Val Accuracy 0.5101 | Test Accuracy 0.5096 | Best val. Accuracy 0.5101 | Best test Accuracy 0.5084
Epoch 0078/1000| Loss 1.4657 | Train Accuracy 0.5101 | Val Accuracy 0.5112 | Test Accuracy 0.5104 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0079/1000| Loss 1.4615 | Train Accuracy 0.4914 | Val Accuracy 0.4961 | Test Accuracy 0.4928 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0080: Avg Forward 8.177ms, Avg Backward 3.708ms, Total per epoch 11.886ms
Epoch 0080/1000| Loss 1.4806 | Train Accuracy 0.5024 | Val Accuracy 0.5012 | Test Accuracy 0.5009 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0081/1000| Loss 1.4808 | Train Accuracy 0.4471 | Val Accuracy 0.4486 | Test Accuracy 0.4505 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0082/1000| Loss 1.5292 | Train Accuracy 0.5068 | Val Accuracy 0.5090 | Test Accuracy 0.5079 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0083/1000| Loss 1.4680 | Train Accuracy 0.4937 | Val Accuracy 0.4937 | Test Accuracy 0.4928 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0084/1000| Loss 1.4950 | Train Accuracy 0.4922 | Val Accuracy 0.4965 | Test Accuracy 0.4931 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0085/1000| Loss 1.4738 | Train Accuracy 0.4785 | Val Accuracy 0.4818 | Test Accuracy 0.4809 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0086/1000| Loss 1.4874 | Train Accuracy 0.5038 | Val Accuracy 0.5051 | Test Accuracy 0.5054 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0087/1000| Loss 1.4795 | Train Accuracy 0.4972 | Val Accuracy 0.4962 | Test Accuracy 0.4973 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0088/1000| Loss 1.4999 | Train Accuracy 0.5012 | Val Accuracy 0.5037 | Test Accuracy 0.5040 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0089/1000| Loss 1.4710 | Train Accuracy 0.4831 | Val Accuracy 0.4865 | Test Accuracy 0.4847 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0090/1000| Loss 1.4882 | Train Accuracy 0.5068 | Val Accuracy 0.5077 | Test Accuracy 0.5080 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0091/1000| Loss 1.4691 | Train Accuracy 0.4931 | Val Accuracy 0.4948 | Test Accuracy 0.4931 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0092/1000| Loss 1.4898 | Train Accuracy 0.4989 | Val Accuracy 0.5032 | Test Accuracy 0.5000 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0093/1000| Loss 1.4702 | Train Accuracy 0.4945 | Val Accuracy 0.4987 | Test Accuracy 0.4943 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
Epoch 0094/1000| Loss 1.4780 | Train Accuracy 0.5058 | Val Accuracy 0.5042 | Test Accuracy 0.5061 | Best val. Accuracy 0.5112 | Best test Accuracy 0.5104
