
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GCN model...
Using standard DGL GCN model
Model parameters: 229,232 total, 229,232 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0044/1000| Loss 0.3124 | Train Accuracy 0.7367 | Val Accuracy 0.7237 | Test Accuracy 0.6649 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0045/1000| Loss 0.3115 | Train Accuracy 0.7387 | Val Accuracy 0.7268 | Test Accuracy 0.6686 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0046/1000| Loss 0.3111 | Train Accuracy 0.7391 | Val Accuracy 0.7275 | Test Accuracy 0.6714 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0047/1000| Loss 0.3110 | Train Accuracy 0.7222 | Val Accuracy 0.7124 | Test Accuracy 0.6720 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0048/1000| Loss 0.3202 | Train Accuracy 0.7433 | Val Accuracy 0.7276 | Test Accuracy 0.6718 | Best val. Accuracy 0.7278 | Best test Accuracy 0.6687
Epoch 0049/1000| Loss 0.3106 | Train Accuracy 0.7440 | Val Accuracy 0.7286 | Test Accuracy 0.6751 | Best val. Accuracy 0.7286 | Best test Accuracy 0.6751
Epoch 0050/1000| Loss 0.3094 | Train Accuracy 0.7437 | Val Accuracy 0.7306 | Test Accuracy 0.6773 | Best val. Accuracy 0.7306 | Best test Accuracy 0.6773
Epoch 0051/1000| Loss 0.3090 | Train Accuracy 0.7425 | Val Accuracy 0.7309 | Test Accuracy 0.6760 | Best val. Accuracy 0.7309 | Best test Accuracy 0.6760
Epoch 0052/1000| Loss 0.3096 | Train Accuracy 0.7464 | Val Accuracy 0.7273 | Test Accuracy 0.6731 | Best val. Accuracy 0.7309 | Best test Accuracy 0.6760
Epoch 0053/1000| Loss 0.3092 | Train Accuracy 0.7461 | Val Accuracy 0.7286 | Test Accuracy 0.6744 | Best val. Accuracy 0.7309 | Best test Accuracy 0.6760
Epoch 0054/1000| Loss 0.3087 | Train Accuracy 0.7477 | Val Accuracy 0.7312 | Test Accuracy 0.6776 | Best val. Accuracy 0.7312 | Best test Accuracy 0.6776
Epoch 0055/1000| Loss 0.3084 | Train Accuracy 0.7471 | Val Accuracy 0.7307 | Test Accuracy 0.6773 | Best val. Accuracy 0.7312 | Best test Accuracy 0.6776
Epoch 0056/1000| Loss 0.3082 | Train Accuracy 0.7481 | Val Accuracy 0.7324 | Test Accuracy 0.6776 | Best val. Accuracy 0.7324 | Best test Accuracy 0.6776
Epoch 0057/1000| Loss 0.3068 | Train Accuracy 0.7478 | Val Accuracy 0.7304 | Test Accuracy 0.6750 | Best val. Accuracy 0.7324 | Best test Accuracy 0.6776
Epoch 0058/1000| Loss 0.3074 | Train Accuracy 0.7497 | Val Accuracy 0.7316 | Test Accuracy 0.6772 | Best val. Accuracy 0.7324 | Best test Accuracy 0.6776
Epoch 0059/1000| Loss 0.3060 | Train Accuracy 0.7503 | Val Accuracy 0.7322 | Test Accuracy 0.6776 | Best val. Accuracy 0.7324 | Best test Accuracy 0.6776
Epoch 0060: Avg Forward 39.041ms, Avg Backward 32.485ms, Total per epoch 71.526ms
Epoch 0060/1000| Loss 0.3060 | Train Accuracy 0.7517 | Val Accuracy 0.7320 | Test Accuracy 0.6778 | Best val. Accuracy 0.7324 | Best test Accuracy 0.6776
Epoch 0061/1000| Loss 0.3061 | Train Accuracy 0.7532 | Val Accuracy 0.7310 | Test Accuracy 0.6761 | Best val. Accuracy 0.7324 | Best test Accuracy 0.6776
Epoch 0062/1000| Loss 0.3058 | Train Accuracy 0.7539 | Val Accuracy 0.7302 | Test Accuracy 0.6763 | Best val. Accuracy 0.7324 | Best test Accuracy 0.6776
Epoch 0063/1000| Loss 0.3053 | Train Accuracy 0.7533 | Val Accuracy 0.7301 | Test Accuracy 0.6786 | Best val. Accuracy 0.7324 | Best test Accuracy 0.6776
Epoch 0064/1000| Loss 0.3056 | Train Accuracy 0.7568 | Val Accuracy 0.7346 | Test Accuracy 0.6782 | Best val. Accuracy 0.7346 | Best test Accuracy 0.6782
Epoch 0065/1000| Loss 0.3046 | Train Accuracy 0.7577 | Val Accuracy 0.7355 | Test Accuracy 0.6780 | Best val. Accuracy 0.7355 | Best test Accuracy 0.6780
Epoch 0066/1000| Loss 0.3037 | Train Accuracy 0.7600 | Val Accuracy 0.7334 | Test Accuracy 0.6763 | Best val. Accuracy 0.7355 | Best test Accuracy 0.6780
Epoch 0067/1000| Loss 0.3034 | Train Accuracy 0.7620 | Val Accuracy 0.7329 | Test Accuracy 0.6775 | Best val. Accuracy 0.7355 | Best test Accuracy 0.6780
Epoch 0068/1000| Loss 0.3034 | Train Accuracy 0.7613 | Val Accuracy 0.7348 | Test Accuracy 0.6787 | Best val. Accuracy 0.7355 | Best test Accuracy 0.6780
Epoch 0069/1000| Loss 0.3027 | Train Accuracy 0.7632 | Val Accuracy 0.7378 | Test Accuracy 0.6818 | Best val. Accuracy 0.7378 | Best test Accuracy 0.6818
Epoch 0070/1000| Loss 0.3024 | Train Accuracy 0.7629 | Val Accuracy 0.7395 | Test Accuracy 0.6836 | Best val. Accuracy 0.7395 | Best test Accuracy 0.6836
Epoch 0071/1000| Loss 0.3023 | Train Accuracy 0.7661 | Val Accuracy 0.7380 | Test Accuracy 0.6841 | Best val. Accuracy 0.7395 | Best test Accuracy 0.6836
Epoch 0072/1000| Loss 0.3015 | Train Accuracy 0.7647 | Val Accuracy 0.7408 | Test Accuracy 0.6855 | Best val. Accuracy 0.7408 | Best test Accuracy 0.6855
Epoch 0073/1000| Loss 0.3016 | Train Accuracy 0.7659 | Val Accuracy 0.7426 | Test Accuracy 0.6872 | Best val. Accuracy 0.7426 | Best test Accuracy 0.6872
Epoch 0074/1000| Loss 0.3004 | Train Accuracy 0.7678 | Val Accuracy 0.7425 | Test Accuracy 0.6874 | Best val. Accuracy 0.7426 | Best test Accuracy 0.6872
Epoch 0075/1000| Loss 0.2994 | Train Accuracy 0.7679 | Val Accuracy 0.7431 | Test Accuracy 0.6885 | Best val. Accuracy 0.7431 | Best test Accuracy 0.6885
Epoch 0076/1000| Loss 0.3007 | Train Accuracy 0.7684 | Val Accuracy 0.7469 | Test Accuracy 0.6922 | Best val. Accuracy 0.7469 | Best test Accuracy 0.6922
Epoch 0077/1000| Loss 0.2996 | Train Accuracy 0.7715 | Val Accuracy 0.7525 | Test Accuracy 0.6973 | Best val. Accuracy 0.7525 | Best test Accuracy 0.6973
Epoch 0078/1000| Loss 0.3003 | Train Accuracy 0.7688 | Val Accuracy 0.7527 | Test Accuracy 0.6971 | Best val. Accuracy 0.7527 | Best test Accuracy 0.6971
Epoch 0079/1000| Loss 0.2997 | Train Accuracy 0.7713 | Val Accuracy 0.7525 | Test Accuracy 0.6971 | Best val. Accuracy 0.7527 | Best test Accuracy 0.6971
Epoch 0080: Avg Forward 39.068ms, Avg Backward 32.485ms, Total per epoch 71.553ms
Epoch 0080/1000| Loss 0.2996 | Train Accuracy 0.7758 | Val Accuracy 0.7552 | Test Accuracy 0.6999 | Best val. Accuracy 0.7552 | Best test Accuracy 0.6999
Epoch 0081/1000| Loss 0.2995 | Train Accuracy 0.7736 | Val Accuracy 0.7553 | Test Accuracy 0.6994 | Best val. Accuracy 0.7553 | Best test Accuracy 0.6994
Epoch 0082/1000| Loss 0.2975 | Train Accuracy 0.7736 | Val Accuracy 0.7549 | Test Accuracy 0.6974 | Best val. Accuracy 0.7553 | Best test Accuracy 0.6994
Epoch 0083/1000| Loss 0.2997 | Train Accuracy 0.7753 | Val Accuracy 0.7522 | Test Accuracy 0.7056 | Best val. Accuracy 0.7553 | Best test Accuracy 0.6994
Epoch 0084/1000| Loss 0.3074 | Train Accuracy 0.7777 | Val Accuracy 0.7551 | Test Accuracy 0.7007 | Best val. Accuracy 0.7553 | Best test Accuracy 0.6994
Epoch 0085/1000| Loss 0.2963 | Train Accuracy 0.7733 | Val Accuracy 0.7562 | Test Accuracy 0.7011 | Best val. Accuracy 0.7562 | Best test Accuracy 0.7011
Epoch 0086/1000| Loss 0.3023 | Train Accuracy 0.7787 | Val Accuracy 0.7589 | Test Accuracy 0.7031 | Best val. Accuracy 0.7589 | Best test Accuracy 0.7031
Epoch 0087/1000| Loss 0.2970 | Train Accuracy 0.7801 | Val Accuracy 0.7588 | Test Accuracy 0.7025 | Best val. Accuracy 0.7589 | Best test Accuracy 0.7031
Epoch 0088/1000| Loss 0.2981 | Train Accuracy 0.7789 | Val Accuracy 0.7608 | Test Accuracy 0.7037 | Best val. Accuracy 0.7608 | Best test Accuracy 0.7037
Epoch 0089/1000| Loss 0.2968 | Train Accuracy 0.7786 | Val Accuracy 0.7643 | Test Accuracy 0.7072 | Best val. Accuracy 0.7643 | Best test Accuracy 0.7072
Epoch 0090/1000| Loss 0.2972 | Train Accuracy 0.7829 | Val Accuracy 0.7664 | Test Accuracy 0.7070 | Best val. Accuracy 0.7664 | Best test Accuracy 0.7070
Epoch 0091/1000| Loss 0.2950 | Train Accuracy 0.7849 | Val Accuracy 0.7670 | Test Accuracy 0.7058 | Best val. Accuracy 0.7670 | Best test Accuracy 0.7058
Epoch 0092/1000| Loss 0.2948 | Train Accuracy 0.7839 | Val Accuracy 0.7681 | Test Accuracy 0.7074 | Best val. Accuracy 0.7681 | Best test Accuracy 0.7074
Epoch 0093/1000| Loss 0.2946 | Train Accuracy 0.7749 | Val Accuracy 0.7648 | Test Accuracy 0.7163 | Best val. Accuracy 0.7681 | Best test Accuracy 0.7074
Epoch 0094/1000| Loss 0.2997 | Train Accuracy 0.7849 | Val Accuracy 0.7666 | Test Accuracy 0.7059 | Best val. Accuracy 0.7681 | Best test Accuracy 0.7074
Epoch 0095/1000| Loss 0.2959 | Train Accuracy 0.7852 | Val Accuracy 0.7652 | Test Accuracy 0.7014 | Best val. Accuracy 0.7681 | Best test Accuracy 0.7074
Epoch 0096/1000| Loss 0.2961 | Train Accuracy 0.7851 | Val Accuracy 0.7677 | Test Accuracy 0.7038 | Best val. Accuracy 0.7681 | Best test Accuracy 0.7074
Epoch 0097/1000| Loss 0.2987 | Train Accuracy 0.7846 | Val Accuracy 0.7696 | Test Accuracy 0.7050 | Best val. Accuracy 0.7696 | Best test Accuracy 0.7050
Epoch 0098/1000| Loss 0.2965 | Train Accuracy 0.7870 | Val Accuracy 0.7716 | Test Accuracy 0.7066 | Best val. Accuracy 0.7716 | Best test Accuracy 0.7066
Epoch 0099/1000| Loss 0.2976 | Train Accuracy 0.7859 | Val Accuracy 0.7687 | Test Accuracy 0.7030 | Best val. Accuracy 0.7716 | Best test Accuracy 0.7066
Epoch 0100: Avg Forward 39.078ms, Avg Backward 32.484ms, Total per epoch 71.562ms
Epoch 0100/1000| Loss 0.2976 | Train Accuracy 0.7880 | Val Accuracy 0.7677 | Test Accuracy 0.7045 | Best val. Accuracy 0.7716 | Best test Accuracy 0.7066
Epoch 0101/1000| Loss 0.2990 | Train Accuracy 0.7876 | Val Accuracy 0.7685 | Test Accuracy 0.7064 | Best val. Accuracy 0.7716 | Best test Accuracy 0.7066
Epoch 0102/1000| Loss 0.2951 | Train Accuracy 0.7850 | Val Accuracy 0.7690 | Test Accuracy 0.7079 | Best val. Accuracy 0.7716 | Best test Accuracy 0.7066
Epoch 0103/1000| Loss 0.2983 | Train Accuracy 0.7882 | Val Accuracy 0.7708 | Test Accuracy 0.7084 | Best val. Accuracy 0.7716 | Best test Accuracy 0.7066
Epoch 0104/1000| Loss 0.2939 | Train Accuracy 0.7892 | Val Accuracy 0.7694 | Test Accuracy 0.7072 | Best val. Accuracy 0.7716 | Best test Accuracy 0.7066
Epoch 0105/1000| Loss 0.2982 | Train Accuracy 0.7900 | Val Accuracy 0.7672 | Test Accuracy 0.7036 | Best val. Accuracy 0.7716 | Best test Accuracy 0.7066
Epoch 0106/1000| Loss 0.2935 | Train Accuracy 0.7877 | Val Accuracy 0.7657 | Test Accuracy 0.7023 | Best val. Accuracy 0.7716 | Best test Accuracy 0.7066
Epoch 0107/1000| Loss 0.2972 | Train Accuracy 0.7896 | Val Accuracy 0.7727 | Test Accuracy 0.7046 | Best val. Accuracy 0.7727 | Best test Accuracy 0.7046
Epoch 0108/1000| Loss 0.2941 | Train Accuracy 0.7924 | Val Accuracy 0.7737 | Test Accuracy 0.7061 | Best val. Accuracy 0.7737 | Best test Accuracy 0.7061
Epoch 0109/1000| Loss 0.2951 | Train Accuracy 0.7907 | Val Accuracy 0.7718 | Test Accuracy 0.7055 | Best val. Accuracy 0.7737 | Best test Accuracy 0.7061
Epoch 0110/1000| Loss 0.2934 | Train Accuracy 0.7870 | Val Accuracy 0.7671 | Test Accuracy 0.7031 | Best val. Accuracy 0.7737 | Best test Accuracy 0.7061
Epoch 0111/1000| Loss 0.3011 | Train Accuracy 0.7911 | Val Accuracy 0.7728 | Test Accuracy 0.7060 | Best val. Accuracy 0.7737 | Best test Accuracy 0.7061
Epoch 0112/1000| Loss 0.2933 | Train Accuracy 0.7923 | Val Accuracy 0.7764 | Test Accuracy 0.7100 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0113/1000| Loss 0.2992 | Train Accuracy 0.7889 | Val Accuracy 0.7750 | Test Accuracy 0.7107 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0114/1000| Loss 0.2996 | Train Accuracy 0.7878 | Val Accuracy 0.7701 | Test Accuracy 0.7088 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0115/1000| Loss 0.3000 | Train Accuracy 0.7769 | Val Accuracy 0.7638 | Test Accuracy 0.7027 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0116/1000| Loss 0.3097 | Train Accuracy 0.7533 | Val Accuracy 0.7713 | Test Accuracy 0.7017 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0117/1000| Loss 0.3161 | Train Accuracy 0.7711 | Val Accuracy 0.7648 | Test Accuracy 0.6931 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0118/1000| Loss 0.3147 | Train Accuracy 0.7773 | Val Accuracy 0.7574 | Test Accuracy 0.6936 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0119/1000| Loss 0.3059 | Train Accuracy 0.7709 | Val Accuracy 0.7526 | Test Accuracy 0.6969 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0120: Avg Forward 39.084ms, Avg Backward 32.484ms, Total per epoch 71.568ms
Epoch 0120/1000| Loss 0.3111 | Train Accuracy 0.7755 | Val Accuracy 0.7535 | Test Accuracy 0.7007 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0121/1000| Loss 0.3059 | Train Accuracy 0.7821 | Val Accuracy 0.7572 | Test Accuracy 0.7029 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0122/1000| Loss 0.3034 | Train Accuracy 0.7821 | Val Accuracy 0.7600 | Test Accuracy 0.7036 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0123/1000| Loss 0.3042 | Train Accuracy 0.7815 | Val Accuracy 0.7571 | Test Accuracy 0.7002 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0124/1000| Loss 0.3013 | Train Accuracy 0.7743 | Val Accuracy 0.7544 | Test Accuracy 0.6991 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0125/1000| Loss 0.3016 | Train Accuracy 0.7676 | Val Accuracy 0.7555 | Test Accuracy 0.7037 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0126/1000| Loss 0.3034 | Train Accuracy 0.7654 | Val Accuracy 0.7533 | Test Accuracy 0.7007 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0127/1000| Loss 0.3025 | Train Accuracy 0.7666 | Val Accuracy 0.7499 | Test Accuracy 0.6972 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0128/1000| Loss 0.3023 | Train Accuracy 0.7696 | Val Accuracy 0.7498 | Test Accuracy 0.6963 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
Epoch 0129/1000| Loss 0.3003 | Train Accuracy 0.7734 | Val Accuracy 0.7517 | Test Accuracy 0.6977 | Best val. Accuracy 0.7764 | Best test Accuracy 0.7100
