
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: products
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 235,314 total, 235,314 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0038/1000| Loss 2.8152 | Train Accuracy 0.3090 | Val Accuracy 0.3075 | Test Accuracy 0.2666 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0039/1000| Loss 2.8497 | Train Accuracy 0.2975 | Val Accuracy 0.2901 | Test Accuracy 0.2398 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0040: Avg Forward 224.739ms, Avg Backward 68.185ms, Total per epoch 292.924ms
Epoch 0040/1000| Loss 2.8830 | Train Accuracy 0.2994 | Val Accuracy 0.2923 | Test Accuracy 0.2444 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0041/1000| Loss 2.8605 | Train Accuracy 0.2786 | Val Accuracy 0.2692 | Test Accuracy 0.2226 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0042/1000| Loss 2.9855 | Train Accuracy 0.2751 | Val Accuracy 0.2602 | Test Accuracy 0.2141 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0043/1000| Loss 3.0053 | Train Accuracy 0.2600 | Val Accuracy 0.2510 | Test Accuracy 0.2036 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0044/1000| Loss 3.0356 | Train Accuracy 0.2627 | Val Accuracy 0.2555 | Test Accuracy 0.2068 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0045/1000| Loss 3.0402 | Train Accuracy 0.2030 | Val Accuracy 0.1970 | Test Accuracy 0.1604 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0046/1000| Loss 3.0216 | Train Accuracy 0.2881 | Val Accuracy 0.2805 | Test Accuracy 0.2289 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0047/1000| Loss 2.8807 | Train Accuracy 0.2458 | Val Accuracy 0.2334 | Test Accuracy 0.1868 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0048/1000| Loss 3.0729 | Train Accuracy 0.3082 | Val Accuracy 0.3074 | Test Accuracy 0.2674 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0049/1000| Loss 2.9172 | Train Accuracy 0.2690 | Val Accuracy 0.2580 | Test Accuracy 0.2047 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0050/1000| Loss 2.9718 | Train Accuracy 0.2308 | Val Accuracy 0.2202 | Test Accuracy 0.1813 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0051/1000| Loss 2.9145 | Train Accuracy 0.3056 | Val Accuracy 0.3018 | Test Accuracy 0.2567 | Best val. Accuracy 0.3075 | Best test Accuracy 0.2666
Epoch 0052/1000| Loss 2.9246 | Train Accuracy 0.3084 | Val Accuracy 0.3085 | Test Accuracy 0.2693 | Best val. Accuracy 0.3085 | Best test Accuracy 0.2693
Epoch 0053/1000| Loss 2.9103 | Train Accuracy 0.3086 | Val Accuracy 0.3084 | Test Accuracy 0.2691 | Best val. Accuracy 0.3085 | Best test Accuracy 0.2693
Epoch 0054/1000| Loss 2.8383 | Train Accuracy 0.3037 | Val Accuracy 0.2998 | Test Accuracy 0.2518 | Best val. Accuracy 0.3085 | Best test Accuracy 0.2693
Epoch 0055/1000| Loss 2.8884 | Train Accuracy 0.2998 | Val Accuracy 0.2967 | Test Accuracy 0.2519 | Best val. Accuracy 0.3085 | Best test Accuracy 0.2693
Epoch 0056/1000| Loss 2.8485 | Train Accuracy 0.2586 | Val Accuracy 0.2461 | Test Accuracy 0.1983 | Best val. Accuracy 0.3085 | Best test Accuracy 0.2693
Epoch 0057/1000| Loss 3.4435 | Train Accuracy 0.3080 | Val Accuracy 0.3074 | Test Accuracy 0.2684 | Best val. Accuracy 0.3085 | Best test Accuracy 0.2693
