
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 425,072 total, 425,072 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0071/1000| Loss 0.3423 | Train Accuracy 0.6914 | Val Accuracy 0.6863 | Test Accuracy 0.6505 | Best val. Accuracy 0.6990 | Best test Accuracy 0.6583
Epoch 0072/1000| Loss 0.3429 | Train Accuracy 0.6981 | Val Accuracy 0.6897 | Test Accuracy 0.6503 | Best val. Accuracy 0.6990 | Best test Accuracy 0.6583
Epoch 0073/1000| Loss 0.3395 | Train Accuracy 0.7145 | Val Accuracy 0.7009 | Test Accuracy 0.6589 | Best val. Accuracy 0.7009 | Best test Accuracy 0.6589
Epoch 0074/1000| Loss 0.3367 | Train Accuracy 0.7246 | Val Accuracy 0.7100 | Test Accuracy 0.6657 | Best val. Accuracy 0.7100 | Best test Accuracy 0.6657
Epoch 0075/1000| Loss 0.3352 | Train Accuracy 0.7242 | Val Accuracy 0.7115 | Test Accuracy 0.6651 | Best val. Accuracy 0.7115 | Best test Accuracy 0.6651
Epoch 0076/1000| Loss 0.3326 | Train Accuracy 0.7272 | Val Accuracy 0.7141 | Test Accuracy 0.6683 | Best val. Accuracy 0.7141 | Best test Accuracy 0.6683
Epoch 0077/1000| Loss 0.3331 | Train Accuracy 0.7408 | Val Accuracy 0.7279 | Test Accuracy 0.6786 | Best val. Accuracy 0.7279 | Best test Accuracy 0.6786
Epoch 0078/1000| Loss 0.3325 | Train Accuracy 0.7413 | Val Accuracy 0.7328 | Test Accuracy 0.6642 | Best val. Accuracy 0.7328 | Best test Accuracy 0.6642
Epoch 0079/1000| Loss 0.3348 | Train Accuracy 0.7365 | Val Accuracy 0.7233 | Test Accuracy 0.6680 | Best val. Accuracy 0.7328 | Best test Accuracy 0.6642
Epoch 0080: Avg Forward 41.094ms, Avg Backward 32.665ms, Total per epoch 73.759ms
Epoch 0080/1000| Loss 0.3298 | Train Accuracy 0.7301 | Val Accuracy 0.7155 | Test Accuracy 0.6623 | Best val. Accuracy 0.7328 | Best test Accuracy 0.6642
Epoch 0081/1000| Loss 0.3285 | Train Accuracy 0.7339 | Val Accuracy 0.7179 | Test Accuracy 0.6630 | Best val. Accuracy 0.7328 | Best test Accuracy 0.6642
Epoch 0082/1000| Loss 0.3266 | Train Accuracy 0.7350 | Val Accuracy 0.7177 | Test Accuracy 0.6627 | Best val. Accuracy 0.7328 | Best test Accuracy 0.6642
Epoch 0083/1000| Loss 0.3258 | Train Accuracy 0.7288 | Val Accuracy 0.7110 | Test Accuracy 0.6602 | Best val. Accuracy 0.7328 | Best test Accuracy 0.6642
Epoch 0084/1000| Loss 0.3233 | Train Accuracy 0.7212 | Val Accuracy 0.7044 | Test Accuracy 0.6571 | Best val. Accuracy 0.7328 | Best test Accuracy 0.6642
Epoch 0085/1000| Loss 0.3247 | Train Accuracy 0.7249 | Val Accuracy 0.7090 | Test Accuracy 0.6617 | Best val. Accuracy 0.7328 | Best test Accuracy 0.6642
Epoch 0086/1000| Loss 0.3217 | Train Accuracy 0.7360 | Val Accuracy 0.7193 | Test Accuracy 0.6682 | Best val. Accuracy 0.7328 | Best test Accuracy 0.6642
Epoch 0087/1000| Loss 0.3193 | Train Accuracy 0.7419 | Val Accuracy 0.7255 | Test Accuracy 0.6718 | Best val. Accuracy 0.7328 | Best test Accuracy 0.6642
Epoch 0088/1000| Loss 0.3202 | Train Accuracy 0.7462 | Val Accuracy 0.7319 | Test Accuracy 0.6752 | Best val. Accuracy 0.7328 | Best test Accuracy 0.6642
Epoch 0089/1000| Loss 0.3202 | Train Accuracy 0.7399 | Val Accuracy 0.7297 | Test Accuracy 0.6731 | Best val. Accuracy 0.7328 | Best test Accuracy 0.6642
Epoch 0090/1000| Loss 0.3184 | Train Accuracy 0.7529 | Val Accuracy 0.7360 | Test Accuracy 0.6773 | Best val. Accuracy 0.7360 | Best test Accuracy 0.6773
Epoch 0091/1000| Loss 0.3161 | Train Accuracy 0.7506 | Val Accuracy 0.7357 | Test Accuracy 0.6792 | Best val. Accuracy 0.7360 | Best test Accuracy 0.6773
Epoch 0092/1000| Loss 0.3154 | Train Accuracy 0.7555 | Val Accuracy 0.7383 | Test Accuracy 0.6819 | Best val. Accuracy 0.7383 | Best test Accuracy 0.6819
Epoch 0093/1000| Loss 0.3134 | Train Accuracy 0.7578 | Val Accuracy 0.7421 | Test Accuracy 0.6875 | Best val. Accuracy 0.7421 | Best test Accuracy 0.6875
Epoch 0094/1000| Loss 0.3143 | Train Accuracy 0.7466 | Val Accuracy 0.7389 | Test Accuracy 0.6869 | Best val. Accuracy 0.7421 | Best test Accuracy 0.6875
Epoch 0095/1000| Loss 0.3137 | Train Accuracy 0.7576 | Val Accuracy 0.7452 | Test Accuracy 0.6945 | Best val. Accuracy 0.7452 | Best test Accuracy 0.6945
Epoch 0096/1000| Loss 0.3118 | Train Accuracy 0.7681 | Val Accuracy 0.7530 | Test Accuracy 0.7011 | Best val. Accuracy 0.7530 | Best test Accuracy 0.7011
Epoch 0097/1000| Loss 0.3129 | Train Accuracy 0.7625 | Val Accuracy 0.7497 | Test Accuracy 0.6963 | Best val. Accuracy 0.7530 | Best test Accuracy 0.7011
Epoch 0098/1000| Loss 0.3093 | Train Accuracy 0.7641 | Val Accuracy 0.7521 | Test Accuracy 0.6976 | Best val. Accuracy 0.7530 | Best test Accuracy 0.7011
Epoch 0099/1000| Loss 0.3090 | Train Accuracy 0.7682 | Val Accuracy 0.7545 | Test Accuracy 0.7018 | Best val. Accuracy 0.7545 | Best test Accuracy 0.7018
Epoch 0100: Avg Forward 41.111ms, Avg Backward 32.664ms, Total per epoch 73.775ms
Epoch 0100/1000| Loss 0.3081 | Train Accuracy 0.7633 | Val Accuracy 0.7508 | Test Accuracy 0.7031 | Best val. Accuracy 0.7545 | Best test Accuracy 0.7018
Epoch 0101/1000| Loss 0.3081 | Train Accuracy 0.7610 | Val Accuracy 0.7472 | Test Accuracy 0.7000 | Best val. Accuracy 0.7545 | Best test Accuracy 0.7018
Epoch 0102/1000| Loss 0.3068 | Train Accuracy 0.7698 | Val Accuracy 0.7519 | Test Accuracy 0.6993 | Best val. Accuracy 0.7545 | Best test Accuracy 0.7018
Epoch 0103/1000| Loss 0.3077 | Train Accuracy 0.7685 | Val Accuracy 0.7523 | Test Accuracy 0.6954 | Best val. Accuracy 0.7545 | Best test Accuracy 0.7018
