
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=32
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 327,434 total, 327,434 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 32, Nonlinearity: maxk
Starting training...
Epoch 0041/1000| Loss 8.7536 | Train Accuracy 0.4181 | Val Accuracy 0.4204 | Test Accuracy 0.4218 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0042/1000| Loss 12.5501 | Train Accuracy 0.4015 | Val Accuracy 0.4033 | Test Accuracy 0.4033 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0043/1000| Loss 20.6223 | Train Accuracy 0.2582 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0044/1000| Loss 38.6117 | Train Accuracy 0.0891 | Val Accuracy 0.0873 | Test Accuracy 0.0873 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0045/1000| Loss 29.0772 | Train Accuracy 0.1013 | Val Accuracy 0.0966 | Test Accuracy 0.0964 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0046/1000| Loss 18.6315 | Train Accuracy 0.2909 | Val Accuracy 0.2869 | Test Accuracy 0.2900 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0047/1000| Loss 21.4736 | Train Accuracy 0.3988 | Val Accuracy 0.3953 | Test Accuracy 0.3993 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0048/1000| Loss 22.1901 | Train Accuracy 0.4195 | Val Accuracy 0.4223 | Test Accuracy 0.4225 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0049/1000| Loss 26.2285 | Train Accuracy 0.3306 | Val Accuracy 0.3299 | Test Accuracy 0.3300 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0050/1000| Loss 18.4975 | Train Accuracy 0.1396 | Val Accuracy 0.1402 | Test Accuracy 0.1421 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0051/1000| Loss 22.2505 | Train Accuracy 0.2034 | Val Accuracy 0.2006 | Test Accuracy 0.1963 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0052/1000| Loss 25.4303 | Train Accuracy 0.4137 | Val Accuracy 0.4160 | Test Accuracy 0.4166 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0053/1000| Loss 21.5287 | Train Accuracy 0.3254 | Val Accuracy 0.3224 | Test Accuracy 0.3186 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0054/1000| Loss 18.1348 | Train Accuracy 0.2838 | Val Accuracy 0.2839 | Test Accuracy 0.2803 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0055/1000| Loss 17.1529 | Train Accuracy 0.3647 | Val Accuracy 0.3654 | Test Accuracy 0.3610 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0056/1000| Loss 17.8416 | Train Accuracy 0.4210 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0057/1000| Loss 23.5941 | Train Accuracy 0.3945 | Val Accuracy 0.3979 | Test Accuracy 0.3981 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0058/1000| Loss 18.3434 | Train Accuracy 0.3951 | Val Accuracy 0.3966 | Test Accuracy 0.3958 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0059/1000| Loss 29.3657 | Train Accuracy 0.0681 | Val Accuracy 0.0679 | Test Accuracy 0.0676 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0060: Avg Forward 7.543ms, Avg Backward 3.670ms, Total per epoch 11.214ms
Epoch 0060/1000| Loss 25.6130 | Train Accuracy 0.2718 | Val Accuracy 0.2752 | Test Accuracy 0.2690 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0061/1000| Loss 19.2392 | Train Accuracy 0.0815 | Val Accuracy 0.0816 | Test Accuracy 0.0820 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0062/1000| Loss 15.4435 | Train Accuracy 0.1382 | Val Accuracy 0.1334 | Test Accuracy 0.1353 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0063/1000| Loss 20.8040 | Train Accuracy 0.4160 | Val Accuracy 0.4180 | Test Accuracy 0.4134 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0064/1000| Loss 18.7654 | Train Accuracy 0.4029 | Val Accuracy 0.4011 | Test Accuracy 0.4025 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0065/1000| Loss 22.5700 | Train Accuracy 0.3322 | Val Accuracy 0.3292 | Test Accuracy 0.3290 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0066/1000| Loss 36.7163 | Train Accuracy 0.3422 | Val Accuracy 0.3403 | Test Accuracy 0.3406 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0067/1000| Loss 19.2327 | Train Accuracy 0.4087 | Val Accuracy 0.4114 | Test Accuracy 0.4107 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0068/1000| Loss 19.9474 | Train Accuracy 0.4272 | Val Accuracy 0.4291 | Test Accuracy 0.4314 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0069/1000| Loss 13.6045 | Train Accuracy 0.4111 | Val Accuracy 0.4071 | Test Accuracy 0.4098 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0070/1000| Loss 13.2972 | Train Accuracy 0.3493 | Val Accuracy 0.3477 | Test Accuracy 0.3495 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0071/1000| Loss 12.4375 | Train Accuracy 0.2463 | Val Accuracy 0.2460 | Test Accuracy 0.2542 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0072/1000| Loss 16.5326 | Train Accuracy 0.0854 | Val Accuracy 0.0861 | Test Accuracy 0.0870 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0073/1000| Loss 16.3232 | Train Accuracy 0.1832 | Val Accuracy 0.1776 | Test Accuracy 0.1829 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0074/1000| Loss 11.6768 | Train Accuracy 0.3902 | Val Accuracy 0.3847 | Test Accuracy 0.3871 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0075/1000| Loss 31.9304 | Train Accuracy 0.3611 | Val Accuracy 0.3556 | Test Accuracy 0.3562 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0076/1000| Loss 20.9022 | Train Accuracy 0.0998 | Val Accuracy 0.0934 | Test Accuracy 0.0987 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0077/1000| Loss 17.7441 | Train Accuracy 0.3520 | Val Accuracy 0.3513 | Test Accuracy 0.3525 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0078/1000| Loss 12.8761 | Train Accuracy 0.3025 | Val Accuracy 0.3085 | Test Accuracy 0.3077 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0079/1000| Loss 12.8244 | Train Accuracy 0.3642 | Val Accuracy 0.3623 | Test Accuracy 0.3641 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0080: Avg Forward 7.559ms, Avg Backward 3.674ms, Total per epoch 11.234ms
Epoch 0080/1000| Loss 12.7241 | Train Accuracy 0.1706 | Val Accuracy 0.1685 | Test Accuracy 0.1704 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0081/1000| Loss 11.7629 | Train Accuracy 0.1517 | Val Accuracy 0.1501 | Test Accuracy 0.1479 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0082/1000| Loss 11.9559 | Train Accuracy 0.4029 | Val Accuracy 0.4035 | Test Accuracy 0.4038 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0083/1000| Loss 21.2337 | Train Accuracy 0.1522 | Val Accuracy 0.1497 | Test Accuracy 0.1486 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0084/1000| Loss 11.9737 | Train Accuracy 0.1855 | Val Accuracy 0.1828 | Test Accuracy 0.1840 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0085/1000| Loss 17.9042 | Train Accuracy 0.1959 | Val Accuracy 0.1927 | Test Accuracy 0.1975 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0086/1000| Loss 25.5550 | Train Accuracy 0.3991 | Val Accuracy 0.3999 | Test Accuracy 0.4009 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0087/1000| Loss 14.0046 | Train Accuracy 0.3329 | Val Accuracy 0.3395 | Test Accuracy 0.3327 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0088/1000| Loss 17.1317 | Train Accuracy 0.2209 | Val Accuracy 0.2206 | Test Accuracy 0.2194 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0089/1000| Loss 12.0598 | Train Accuracy 0.2173 | Val Accuracy 0.2180 | Test Accuracy 0.2198 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0090/1000| Loss 14.1005 | Train Accuracy 0.3133 | Val Accuracy 0.3114 | Test Accuracy 0.3153 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0091/1000| Loss 17.2966 | Train Accuracy 0.2270 | Val Accuracy 0.2263 | Test Accuracy 0.2233 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0092/1000| Loss 26.2428 | Train Accuracy 0.2596 | Val Accuracy 0.2592 | Test Accuracy 0.2564 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0093/1000| Loss 13.0882 | Train Accuracy 0.3582 | Val Accuracy 0.3534 | Test Accuracy 0.3562 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0094/1000| Loss 11.8753 | Train Accuracy 0.4208 | Val Accuracy 0.4231 | Test Accuracy 0.4228 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0095/1000| Loss 17.9816 | Train Accuracy 0.2031 | Val Accuracy 0.2052 | Test Accuracy 0.2049 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0096/1000| Loss 36.7250 | Train Accuracy 0.1800 | Val Accuracy 0.1785 | Test Accuracy 0.1810 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0097/1000| Loss 15.2161 | Train Accuracy 0.1210 | Val Accuracy 0.1187 | Test Accuracy 0.1242 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0098/1000| Loss 15.6253 | Train Accuracy 0.3098 | Val Accuracy 0.3084 | Test Accuracy 0.3090 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0099/1000| Loss 10.2266 | Train Accuracy 0.3310 | Val Accuracy 0.3316 | Test Accuracy 0.3290 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
Epoch 0100: Avg Forward 7.548ms, Avg Backward 3.669ms, Total per epoch 11.217ms
Epoch 0100/1000| Loss 13.9385 | Train Accuracy 0.2646 | Val Accuracy 0.2636 | Test Accuracy 0.2607 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4314
